Recipe Name,Dish Type,Number of Servings,Ingredients,Instructions,Original Recipe,Allowed Sides,Number of sides,Flags,,,,,,,,,,,,,,,,,,
Ian's Modified Madras Curry,Main,4,"3tsp hot madras curry powder, 1.5tsp coriander, 1tsp cumin, 1.5tsp paprika, 1tsp turmeric (maybe +1/2), 1tsp mild curry powder, 1/4tsp garam masala, 2tsp cayenne (-1/2 for less spicy), 1/4tsp black pepper, 1tsp kasoor methi (dried fenugreek leaves can omit if you cant find), 1.5tsp kosher salt, 1/2tsp cinnamon, 4-6tbsp oil, 1 jumbo yellow Onion, 4-5 cloves garlic (don't be afraid), 2-3tbsp minced fresh ginger (Measure with you heart and don't be afraid), 3-4tbsp tomato paste (plus more as needed add with water), 10oz unsweetened coconut milk, 2lb chicken (but not much more), 1/2 lemon squeezed (maybe more check for flavor. This is the most important ingredient), naan, rice","(1) Mix Spices; Dilute tomato paste with water; mix onion, ginger and garlic in food processor. (2) Heat pan/pot (ideally non-stick) to medium, add 3-4Tbsp oil, and add onion-ginger-garlic mix, let cook for ~20 minutes (You want it to almost caramelize, the mixture will turn green and then blue). (3) Take off the heat and add the spice mix and stir constantly for 30 seconds. (4) Turn heat to medium high and add diluted tomato mix and cook for a few minutes. (5) Turn heat to low and add coconut milk and lemon and let simmer. (6) Cook chicken with remaining oil, so that almost no pink is showing and then add curry into pan and finish cooking. To save time start this step when onions are almost done",https://glebekitchen.com/indian-restaurant-madras-curry/,"Rice, Naan",2,"spicy:hot, favorite",,,,,,,,,,,,,,,,,,
Ian's Veggie Modified Madras Curry,Main,4,"3tsp hot madras curry powder, 1.5tsp coriander, 1tsp cumin, 1.5tsp paprika, 1tsp turmeric (maybe +1/2), 1tsp mild curry powder, 1/4tsp garam masala, 2tsp cayenne (-1/2 for less spicy), 1/4tsp black pepper, 1tsp kasoor methi (dried fenugreek leaves can omit if you cant find), 1.5tsp kosher salt, 1/2tsp cinnamon, 4-6tbsp oil, 1 jumbo yellow Onion, 4-5 cloves garlic (don't be afraid), 2-3tbsp minced fresh ginger (Measure with you heart and don't be afraid), 3-4tbsp tomato paste (plus more as needed add with water), 10oz unsweetened coconut milk, 2 Potatoes, 1 Head Broccoli, 1 handfull spinich, 1/2 lemon squeezed (maybe more check for flavor. This is the most important ingredient), naan, rice","(1) Mix Spices; Dilute tomato paste with water; mix onion, ginger and garlic in food processor. (2) Heat pan/pot (ideally non-stick) to medium, add 3-4Tbsp oil, and add onion-ginger-garlic mix, let cook for ~20 minutes (You want it to almost caramelize, the mixture will turn green and then blue). (3) Take off the heat and add the spice mix and stir constantly for 30 seconds. (4) Turn heat to medium high and add diluted tomato mix and cook for a few minutes. (5) Add chopped Potatos and Broccoli and cook for ??, maybe just do this after step 6. im really not sure  (6) Turn heat to low and add coconut milk and lemon and let simmer for 15-20 minutes. (7) add spinich and simmer for 2-3 minutes",https://glebekitchen.com/indian-restaurant-madras-curry/,"Rice, Naan",2,"spicy:hot,favorite,veggie",,,,,,,,,,,,,,,,,,
Chicken Saag,Main,4,"2tbsp oil, 1 large yellow onion, 3-4 cloves garlic, 2 tbsp minced fresh ginger, 1.5tsp salt, 1.5tsp coriander, 1.5tsp garam masala, 1tsp turmeric, 1tsp cumin, 1/2tsp cardamom, 1.5tsp cayenne pepper, 1tbsp tomato paste, 1/2cup water, 8oz baby spinach, 1.5-2lb chicken, 1/4cup plain greek yogurt","(1) Heat 1 tablespoon oil in a large nonstick skillet over medium-high heat (if you plan to double the recipe, definitely use a pot instead of a skillet so you have room for all the spinach!). Add the onion, garlic, and ginger and saute until softened, about 4 to 5 minutes, stirring regularly, and lowering heat to medium-low if it starts to brown too quickly. (2) Over medium heat, add the salt (SEE NOTES), coriander, garam masala, turmeric, cumin, cardamom, and chili powder, and stir on medium-low heat until fragrant, about 30 seconds or so. Dissolve the tomato paste in the water by stirring vigorously together in a measuring cup or bowl. Then stir into the spices in the pan, creating a thick spiced sauce, about 1 minute. (3) Add the spinach and gently stir to combine, as the skillet will be very full. Cover and raise the heat to medium-high, allowing the spinach to start to wilt. Occasionally remove the lid, stir, and then cover again until most the spinach has begun to wilt, about 3 to 5 minutes (can depend on the size of your spinach leaves). Remove the lid and finish stirring the spinach until it is completely wilted but still bright green, another minute. (4) Transfer spinach mixture to a blender and puree until relatively smooth but still a bit chunky (you don't want it to be super smooth, a bit of texture is good). Taste and adjust salt and spice if necessary. (5) Meanwhile, wipe the skillet clean with a paper towel, return it to medium-high heat, and add 1 tablespoon of oil. When the oil is hot, add the cubed chicken pieces, sprinkle salt over the top to season, and cook until almost completely cooked through, about 5 to 7 minutes. Pour the spinach mixture back over the chicken, using a rubber spatula to get every last bit out of the blender, and cook for another 2 to 3 minutes to allow the flavors to meld and the chicken to finish cooking. Stir in the yogurt, and serve immediately with basmati rice and/or naan.",https://mission-food.com/chicken-saag/,"Rice, Naan",2,"spicy:medium, favorite",,,,,,,,,,,,,,,,,,
Saag Paneer,Main,4,"2tbsp oil, 1 large yellow onion, 3-4 cloves garlic, 2 tbsp minced fresh ginger, 1.5tsp salt, 1.5tsp coriander, 1.5tsp garam masala, 1tsp turmeric, 1tsp cumin, 1/2tsp cardamom, 1.5tsp cayenne pepper, 1tbsp tomato paste, 1/2cup water, 8oz baby spinach, 1.5lb Paneer, 1/4cup plain greek yogurt","(1) Heat 1 tablespoon oil in a large nonstick skillet over medium-high heat (if you plan to double the recipe, definitely use a pot instead of a skillet so you have room for all the spinach!). Add the onion, garlic, and ginger and saute until softened, about 4 to 5 minutes(or more, really let the onion release their flavor), stirring regularly, and lowering heat to medium-low if it starts to brown too quickly. (2) Cut paneer into thin triangle and fry in oil/ghee for no more then 2 minutes. Then soak in warm water for 15 minutes. (2) Over medium heat, add the salt (SEE NOTES), coriander, garam masala, turmeric, cumin, cardamom, and chili powder, and stir on medium-low heat until fragrant, about 30 seconds or so. Dissolve the tomato paste in the water by stirring vigorously together in a measuring cup or bowl(or blend a satee a real tomato, and used 3:1 table spoon). Then stir into the spices in the pan, creating a thick spiced sauce, about 1 minute. (3) Add the spinach and gently stir to combine, as the skillet will be very full. Cover and raise the heat to medium-high, allowing the spinach to start to wilt. Occasionally remove the lid, stir, and then cover again until most the spinach has begun to wilt, about 3 to 5 minutes (can depend on the size of your spinach leaves). Remove the lid and finish stirring the spinach until it is completely wilted but still bright green, another minute. (4) Transfer spinach mixture to a blender and puree until relatively smooth but still a bit chunky (you don't want it to be super smooth, a bit of texture is good). Taste and adjust salt and spice if necessary. (5) Pour the spinach mixture back over in the pain, using a rubber spatula to get every last bit out of the blender, and cook for another 2 to 3 minutes to allow the flavors to meld. Stir in the yogurt, add the paneer, and serve immediately with basmati rice and/or naan.",https://mission-food.com/chicken-saag/,"Rice, Naan",2,"spicy:medium, favorite, veggie",,,,,,,,,,,,,,,,,,
Poke Bowl,Main,2,"Chicken;Tuna;salmon;tofu, rice, 1 Cucumber, 1-2 Jalapenos, green onions, bean sprouts, Wasabi sauce, Spicy Mayo Sauce, soy sauce",(1) Just wing it you'll be fine!,,,0,"favorite, salty, quick and easy",,,,,,,,,,,,,,,,,,
Tofu Poke Bowl,Main,2,"tofu, rice, 1 Cucumber, 1-2 Jalapenos, green onions, bean sprouts, Wasabi sauce, Spicy Mayo Sauce, soy sauce",(1) Just wing it you'll be fine!,,,0,"favorite, salty, quick and easy, veggie",,,,,,,,,,,,,,,,,,
Pizza,Main,4,"390g bread flour, 1 packet active dry yeast, 2tsp sea salt, 1/4cup olive oil, 1cup warm water, 1 mozzarella package (4 slices of fresh mozz per pizza), feta, parmesan, toppings of choice","(1) Mix dough ingredients, knead, and let rise for ideally 18hrs but any amount is also fine. (2) Flatten dough and add toppings as desired. (3) cook pizza at 500 degree for 7 minutes.",https://basicswithbabish.co/basicsepisodes/pizza-dough,,0,"favorite, veggie",,,,,,,,,,,,,,,,,,
Ian's Mac and Cheese,Main,"1,2","pasta, extra sharp cheddar, parmesan, cream cheese (maybe brie), 1.5tbsp butter per serving, 1.5tbsp ap flour per serving, oat milk paprika;pesto;buffalo chicken sauce, salt, pepper","(1) Under cook pasta by 1 minute. (2) For sauce melt butter in pot at medium low heat, once melted stir in flour and let sit for 1.5 minute stirring occasionally. (3) slowly add milk until mixture has consistency of paint. (4) add cheese and melt. (5) once fully melted add in pasta and any optional ingredients.",,Roasted Broccoli,"0,1",veggie,,,,,,,,,,,,,,,,,,
Roasted Broccoli,Side,2,"Broccoli head, garlic, onion powder, olive oil, salt pepper",(1) Cut broccoli head into small pieces and mix with oil and spices as desired. (2) Bake at 450 degree for 25 minutes,,,veggie,veggie,,,,,,,,,,,,,,,,,,
Chicken Quesadilla ,Main,2?,"3 Chicken breasts, cheddar cheese, monterey jack, 2tbsp oil per quesadilla, 2 garlic cloves, 1tbsp Cumin, 1tsp Paprika, 1tsp oregano, 1tsp cayenne, salt, pepper Flour tortillas","(1) Butterfly chicken and smash/flatten, and then marinate for 30 minutes, with 1 tbsp of oil, spices, crushed garlic cloves and optionally lemon and a small amount of sugar. (2) grate equal parts cheddar and  monterey jack.  (3) cook chicken, then cut into pieces/strips. (4) make quesadilla and cook at medium with a good amount of oil",https://basicswithbabish.co/basicsepisodes/quesadillas,"Roasted Broccoli, Potatos, vegetables","0,1",,,,,,,,,,,,,,,,,,,
